Time (hrs),Absorbance,Bioflocculant Concentration (mg/mL),Production Rate (mg/mL per hr)
0.0,0.48,0.4633507853403142,0.23821989528795806
0.5,0.61,0.5824607329842932,0.24738219895287955
1.0,0.75,0.7107329842931938,0.23821989528795817
1.5,0.87,0.8206806282722514,0.19240837696335078
2.0,0.96,0.9031413612565445,0.11910994764397909
2.5,1.0,0.9397905759162305,0.06413612565445037
3.0,1.03,0.9672774869109949,0.04581151832460728
3.5,1.05,0.9856020942408378,0.03664921465968585
4.0,1.07,1.0039267015706808,-0.09162303664921467
4.5,0.95,0.8939790575916231,-0.21073298429319376
5.0,0.84,0.793193717277487,-0.16492146596858637
5.5,0.77,0.7290575916230367,-0.16492146596858637
6.0,0.66,0.6282722513089006,-0.20157068062827221
